Id;Name;scanWormholeStrength
1;A009;
2;A239;5
3;A641;10
4;A982;2.22
5;B041;
6;B274;10
7;B449;2.5
8;B520;
9;C008;
10;C125;6.67
11;C140;5
12;C247;10
13;C248;
14;C391;
15;D364;1.25
16;D382;6.67
17;D792;2.5
18;D845;5
19;E004;
20;E175;5
21;E545;2.5
23;G024;1.25
24;H121;10
25;H296;10
26;H900;2.5
27;I182;4
28;J244;5
29;K329;
30;K346;2.5
31;L005;
32;L477;5
33;L614;2.5
35;M267;1.25
36;M555;2.5
37;M609;4
38;N062;2.5
39;N110;10
40;N290;
41;N432;10
42;N766;4
43;N770;2.5
44;N944;10
45;N968;10
46;O128;
47;O477;5
48;O883;5
49;P060;5
50;Q003;
51;Q317;2.5
52;R051;5
53;R474;2.22
54;R943;6.67
55;S047;
56;S199;10
57;S804;1.25
58;T405;6.67
59;U210;10
60;U319;
61;U574;1.25
62;V283;2.5
63;V301;5
64;V753;6.67
65;V911;10
66;W237;6.67
67;X702;10
68;X877;6.67
69;Y683;4
70;Y790;2.5
71;Z006;
72;Z060;2.5
73;Z142;10
74;Z457;4
75;Z647;10
76;Z971;10
80;M001;
81;E587;
82;V898;
83;Q063;
84;G008;
85;F353;
86;F135;
87;T458;
88;M164;
89;L031;
90;S877;
91;B735;
92;V928;
93;C414;
94;R259;